att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,irrelevant_att11,irrelevant_att12,irrelevant_att13,irrelevant_att14,irrelevant_att15,irrelevant_att16,irrelevant_att17,irrelevant_att18,irrelevant_att19,irrelevant_att20
-0.666376,0.223971,0.082506,-0.047176,0.242772,0.065182,-0.015479,0.036695,0.228114,-0.240014,-0.744028,0.744853,0.713975,-0.077416,0.826652,-0.516521,0.337979,0.527793,0.378966,0.950926
0.083924,-0.049645,-0.23786,-0.010646,0.068705,0.149629,-0.233623,0.558915,-0.094798,-0.047066,-0.775971,-0.995203,-0.739461,0.873703,-0.011061,0.677536,0.37468,-0.998258,0.397177,0.417261
0.127438,-0.066845,0.285961,0.00738,-0.137608,0.581938,-0.211278,0.029578,-0.050822,-0.015893,-0.648903,-0.073418,-0.326129,-0.308182,0.778745,0.511501,-0.300059,0.465094,0.096346,0.994473
0.361296,-0.162407,0.008581,0.022109,-0.226247,-0.01634,-0.091772,-0.335885,-0.364111,-0.097849,0.26007,-0.097027,0.839607,-0.306071,-0.226022,0.117552,0.860181,-0.571036,-0.986224,-0.23073
0.074705,-0.06871,0.370885,-0.104664,-0.244375,-0.023289,0.121221,-0.20957,-0.066454,-0.40755,-0.140043,-0.740251,-0.805115,-0.753038,0.125238,-0.039412,-0.47469,0.358781,0.698924,-0.242856
-0.10032,0.236591,0.48041,0.037702,-0.457634,-0.003257,-0.023986,0.164105,-0.143708,-0.088104,0.807807,0.992285,0.394803,0.291058,-0.988233,-0.960094,-0.963412,-0.480722,-0.133632,0.036379
0.355496,-0.000468,-0.154571,-0.028003,0.369275,0.005579,-0.281947,-0.104964,0.199916,-0.544632,-0.904666,0.312084,0.473849,-0.582363,-0.497598,0.882929,0.701522,-0.913979,-0.168847,-0.135155
-0.196733,-0.314501,0.145729,0.426584,0.075852,-0.411561,0.229668,-0.048625,-0.031962,-0.053987,-0.316631,-0.945397,0.269049,0.842316,-0.853124,0.343746,0.84288,0.454169,-0.521983,-0.984026
-0.057281,-0.217871,0.100989,0.126001,0.548613,-0.0607,-0.015488,0.120063,0.006278,0.145105,0.213334,0.802148,0.447031,-0.739425,0.021155,0.831494,0.339943,-0.222727,-0.754363,0.594003
-0.074843,-0.488035,-0.514636,0.014293,0.044138,-0.087877,0.104271,0.00915,-0.201898,-0.137284,0.875533,0.358685,0.327228,0.860654,0.7347,0.534172,0.909525,0.420054,-0.211027,-0.586909
